user_id,module,action,ip_address,details,id,created_at,updated_at,is_deleted
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",1,2025-11-26 10:28:55.634678,2025-11-26 10:28:55.634688,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",2,2025-11-26 11:32:41.804814,2025-11-26 11:32:41.804824,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 10}""}",3,2025-11-26 11:33:48.944278,2025-11-26 11:33:48.944289,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",4,2025-11-26 15:39:45.680459,2025-11-26 15:39:45.680464,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",5,2025-11-26 15:45:07.449297,2025-11-26 15:45:07.449300,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""帮我分析今日的销售数据趋势"", ""tokens"": 583}",6,2025-11-26 15:45:29.052920,2025-11-26 15:45:29.052925,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",7,2025-11-26 15:49:13.411571,2025-11-26 15:49:13.411573,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",8,2025-11-26 15:51:03.465464,2025-11-26 15:51:03.465467,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""帮我分析今日的销售数据趋势"", ""tokens"": 606}",9,2025-11-26 15:54:01.200228,2025-11-26 15:54:01.200232,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""检查库存预警商品并建议补货方案"", ""tokens"": 1707}",10,2025-11-26 15:54:44.384949,2025-11-26 15:54:44.384952,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",11,2025-11-26 15:55:24.256814,2025-11-26 15:55:24.256816,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",12,2025-11-26 16:05:14.848550,2025-11-26 16:05:14.848552,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""帮我分析今日的销售数据趋势"", ""tokens"": 550}",13,2025-11-26 16:05:45.475741,2025-11-26 16:05:45.475743,0
1,auth,login_success,127.0.0.1,"{""username"": ""Commander""}",14,2025-11-26 16:16:26.514421,2025-11-26 16:16:26.514423,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""帮我分析今日的销售数据趋势"", ""tokens"": 609}",15,2025-11-26 16:33:33.662453,2025-11-26 16:33:33.662461,0
1,ai,chat,127.0.0.1,"{""message_preview"": ""分析本月销售数据并给出优化建议"", ""tokens"": 1804}",16,2025-11-26 16:34:22.948643,2025-11-26 16:34:22.948647,0
